Genus 	Species	Common Names	Family	Synonym	Site	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961
Acer	saccharinum	Silver Maple	Aceraceae	 .	F	3/21/1910	4/21/1911	4/8/1912	4/13/1913	4/15/1914	4/3/1915	4/17/1916	4/13/1917	3/26/1918	4/14/1919	4/17/1920	4/3/1921	4/7/1922	4/19/1923	4/6/1924	3/30/1925	4/16/1926	4/11/1927	4/1/1928	4/3/1929	4/4/1930	4/6/1931	4/14/1932	4/15/1933	4/13/1934	4/11/1935	4/18/1936	4/16/1937	3/26/1938	4/14/1939	4/18/1940	4/10/1941	4/3/1942	4/8/1943	4/13/1944	3/22/1945	3/27/1946	4/20/1947	4/16/1948	4/11/1949	4/22/1950	4/23/1951	4/16/1952	4/6/1953	4/10/1954	4/8/1955	4/20/1956	4/17/1957	4/3/1958	4/3/1959	4/15/1960	.
Acer	negundo	Boxelder	Aceraceae	 .	F	4/3/1910	4/25/1911	4/22/1912	 .	5/2/1914	4/14/1915	5/5/1916	5/8/1917	4/14/1918	5/1/1919	5/6/1920	4/21/1921	4/28/1922	5/1/1923	5/2/1924	4/11/1925	4/23/1926	4/26/1927	5/2/1928	4/25/1929	4/15/1930	4/16/1931	4/23/1932	4/23/1933	4/29/1934	5/6/1935	5/4/1936	5/2/1937	4/15/1938	4/28/1939	5/4/1940	4/26/1941	4/21/1942	4/24/1943	4/29/1944	4/8/1945	4/16/1946	5/3/1947	4/24/1948	.	5/15/1950	4/30/1951	4/23/1952	5/4/1953	4/29/1954	4/16/1955	5/11/1956	4/27/1957	.	.	5/8/1960	.
Acer	saccharum	sugar maple	Aceraceae	 .	F	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	5/7/1922	 .	5/17/1924	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5/18/1945	.	.	.	.	.	.	.	.	.	5/1/1955	5/22/1956	.	.	.	5/19/1960	5/16/1961
Acer	ginnala	Amur maple	Aceraceae	 .	ND	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	.	.	.	.	.	.	5/30/1931	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5/24/1948	5/21/1949	.	.	5/20/1952	.	6/8/1954	5/16/1955	6/6/1956	5/27/1957	5/22/1958	5/30/1959	6/5/1960	.
Yucca	glauca	"Yucca, soapweed yucca"	Agavaceae	 .	ND	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Alisma	subcordatum	American water plantain	Alismataceae	 .	F	6/26/1910	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	6/14/1921	 .	 .	 .	7/19/1925	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	6/21/1948	.	.	.	.	.	7/12/1954	.	.	.	.	.	.	.
Sagittaria	cuneata	"Arrowhead,  arumleaf arrowhead"	Alismataceae	 .	F	6/19/1910	 .	 .	6/21/1913	 .	 .	 .	 .	 .	 .	 .	6/26/1921	 .	 .	 .	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	7/9/1954	6/24/1955	7/2/1956	.	6/29/1958	.	.	.
Acnida	altissima	roughfruit amaranth	Amaranthaceae	Amaranthus  tuberculatus  	ND	8/3/1910	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	 .	8/14/1924	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Amaranthus	retroflexus	"redroot amaranth, Rough Pigweed"	Amaranthaceae  	 .	F	7/2/1910	7/4/1911	 .	7/6/1913	 .	 .	 .	7/21/1917	 .	 .	 .	6/25/1921	 .	6/15/1923	 .	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	7/10/1953	7/5/1954	7/10/1955	7/15/1956	.	.	.	.	.
Amaranthus	graecizans	"mat amaranth, Creeping Pigweed"	Amaranthaceae  	Amaranthus blitoides 	F	6/17/1910	6/6/1911	 .	 .	 .	 .	 .	6/25/1917	 .	 .	 .	 .	 .	 .	 .	.	.	.	6/6/1928	6/16/1929	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	6/19/1957	.	.	.	6/11/1961
