"Day","State","Daily mobility"
2020-01-01,"BW",15.64
2020-01-02,"BW",-15.92
2020-01-03,"BW",-14.25
2020-01-04,"BW",0.01
2020-01-05,"BW",8.75
2020-01-06,"BW",15.03
2020-01-07,"BW",3.28
2020-01-08,"BW",10.4
2020-01-09,"BW",11.87
2020-01-10,"BW",12.84
2020-01-11,"BW",12.24
2020-01-12,"BW",10.52
2020-01-13,"BW",8.43
2020-01-14,"BW",5.96
2020-01-15,"BW",14.69
2020-01-16,"BW",16.09
2020-01-17,"BW",15.15
2020-01-18,"BW",14.64
2020-01-19,"BW",11.08
2020-01-20,"BW",9.21
2020-01-21,"BW",9.05
2020-01-22,"BW",15.33
2020-01-23,"BW",10.7
2020-01-24,"BW",13.71
2020-01-25,"BW",14.85
2020-01-26,"BW",16.14
2020-01-27,"BW",8.36
2020-01-28,"BW",6.92
2020-01-29,"BW",14.63
2020-01-30,"BW",16.6
2020-01-31,"BW",17.18
2020-02-01,"BW",8.2
2020-02-02,"BW",2.23
2020-02-03,"BW",7.03
2020-02-04,"BW",7.86
2020-02-05,"BW",8.77
2020-02-06,"BW",8.74
2020-02-07,"BW",10.09
2020-02-08,"BW",9.79
2020-02-09,"BW",7.61
2020-02-10,"BW",-4.56
2020-02-11,"BW",8.85
2020-02-12,"BW",7.22
2020-02-13,"BW",7.16
2020-02-14,"BW",10.98
2020-02-15,"BW",12.57
2020-02-16,"BW",15.66
2020-02-17,"BW",7.62
2020-02-18,"BW",10.92
2020-02-19,"BW",8.82
2020-02-20,"BW",8.3
2020-02-21,"BW",5.33
2020-02-22,"BW",7.84
2020-02-23,"BW",3.27
2020-02-24,"BW",-4.25
2020-02-25,"BW",-5.7
2020-02-26,"BW",-5.12
2020-02-27,"BW",-6
2020-02-28,"BW",-0.74
2020-02-29,"BW",2.61
2020-03-01,"BW",2.53
2020-03-02,"BW",5.66
2020-03-03,"BW",5.32
2020-03-04,"BW",5.65
2020-03-05,"BW",3.38
2020-03-06,"BW",4.09
2020-03-07,"BW",2.6
2020-03-08,"BW",7.73
2020-03-09,"BW",8.71
2020-03-10,"BW",1
2020-03-11,"BW",3.72
2020-03-12,"BW",3.84
2020-03-13,"BW",3.74
2020-03-14,"BW",-8.7
2020-03-15,"BW",-2.94
2020-03-16,"BW",1.64
2020-03-17,"BW",-15.06
2020-03-18,"BW",-18.24
2020-03-19,"BW",-22.29
2020-03-20,"BW",-26.07
2020-03-21,"BW",-48.56
2020-03-22,"BW",-43.52
2020-03-23,"BW",-31.95
2020-03-24,"BW",-34.41
2020-03-25,"BW",-35.61
2020-03-26,"BW",-35.44
2020-03-27,"BW",-33.1
2020-03-28,"BW",-33.59
2020-03-29,"BW",-55.81
2020-03-30,"BW",-30.66
2020-03-31,"BW",-31.9
2020-04-01,"BW",-29.39
2020-04-02,"BW",-28.03
2020-04-03,"BW",-30.57
2020-04-04,"BW",-30.76
2020-04-05,"BW",-27.87
2020-04-06,"BW",-26.95
2020-04-07,"BW",-30.63
2020-04-08,"BW",-26.92
2020-04-09,"BW",-23.99
2020-04-10,"BW",-27.95
2020-04-11,"BW",-23.78
2020-04-12,"BW",-25.74
2020-04-13,"BW",-33.92
2020-04-14,"BW",-28.49
2020-04-15,"BW",-23.9
2020-04-16,"BW",-22.2
2020-04-17,"BW",-22.53
2020-04-18,"BW",-24.31
2020-04-19,"BW",-22.09
2020-04-20,"BW",-21.95
2020-04-21,"BW",-22.1
2020-04-22,"BW",-17.45
2020-04-23,"BW",-18.33
2020-04-24,"BW",-18.83
2020-04-25,"BW",-18.65
2020-04-26,"BW",-18.75
2020-04-27,"BW",-19.2
2020-04-28,"BW",-22.76
2020-04-29,"BW",-19.88
2020-04-30,"BW",-17.69
2020-05-01,"BW",-41.14
2020-05-02,"BW",-23.09
2020-05-03,"BW",-21.72
2020-05-04,"BW",-18.86
2020-05-05,"BW",-18.21
2020-05-06,"BW",-17.07
2020-05-07,"BW",-14.96
2020-05-08,"BW",-14.76
2020-05-09,"BW",-14.55
2020-05-10,"BW",-14.11
2020-05-11,"BW",-23.95
2020-05-12,"BW",-14.91
2020-05-13,"BW",-21.5
2020-05-14,"BW",-15.72
2020-05-15,"BW",-14.07
2020-05-16,"BW",-9.06
2020-05-17,"BW",-9.34
2020-05-18,"BW",-8.37
2020-05-19,"BW",-7.77
2020-05-20,"BW",-6.04
2020-05-21,"BW",-5.72
2020-05-22,"BW",-15.05
2020-05-23,"BW",-21.07
2020-05-24,"BW",-9.4
2020-05-25,"BW",-9.55
2020-05-26,"BW",-8.26
2020-05-27,"BW",-8.21
2020-05-28,"BW",-6.9
2020-05-29,"BW",-5.6
2020-05-30,"BW",-2.43
2020-05-31,"BW",-0.84
2020-06-01,"BW",20.77
2020-06-02,"BW",-9.29
2020-06-03,"BW",-13.01
2020-06-04,"BW",-18.51
2020-06-05,"BW",-14.77
2020-06-06,"BW",-15.84
2020-06-07,"BW",-20.25
2020-06-08,"BW",-13.75
2020-06-09,"BW",-15.95
2020-06-10,"BW",-12.7
2020-06-11,"BW",-5.44
2020-06-12,"BW",-8.85
2020-06-13,"BW",-6.97
2020-06-14,"BW",-27.92
2020-06-15,"BW",-11.04
2020-06-16,"BW",-7.41
2020-06-17,"BW",-10.12
2020-06-18,"BW",-6.03
2020-06-19,"BW",-4.18
2020-06-20,"BW",-2.85
2020-06-21,"BW",0.57
2020-06-22,"BW",-6.51
2020-06-23,"BW",-2.37
2020-06-24,"BW",-2.21
2020-06-25,"BW",-8.31
2020-06-26,"BW",-7.73
2020-06-27,"BW",-2.05
2020-06-28,"BW",-9.69
2020-06-29,"BW",-6.65
2020-06-30,"BW",-1.55
2020-07-01,"BW",0.65
2020-07-02,"BW",-4.22
2020-07-03,"BW",-2.22
2020-07-04,"BW",0.13
2020-07-05,"BW",4.33
2020-07-06,"BW",-1.56
2020-07-07,"BW",2.41
2020-07-08,"BW",-0.69
2020-07-09,"BW",-0.7
2020-07-10,"BW",-2.8
2020-07-11,"BW",-1.22
2020-07-12,"BW",9.22
2020-07-13,"BW",-0.03
2020-07-14,"BW",2.08
2020-07-15,"BW",-5.22
2020-07-16,"BW",-7.44
2020-07-17,"BW",-4.39
2020-07-18,"BW",0.43
2020-07-19,"BW",8.95
2020-07-20,"BW",-0.62
2020-07-21,"BW",-10.26
2020-07-22,"BW",0.1
2020-07-23,"BW",-0.4
2020-07-24,"BW",-2.21
2020-07-25,"BW",1.28
2020-07-26,"BW",-0.14
2020-07-27,"BW",1.51
2020-07-28,"BW",2.79
2020-07-29,"BW",3.2
2020-07-30,"BW",-2.58
2020-07-31,"BW",-4.83
2020-08-01,"BW",3.07
2020-08-02,"BW",-13.76
2020-08-03,"BW",-1.87
2020-08-04,"BW",0.03
2020-08-05,"BW",6.11
2020-08-06,"BW",5.03
2020-08-07,"BW",2.42
2020-08-08,"BW",1.53
2020-08-09,"BW",-3.73
2020-08-10,"BW",-0.74
2020-08-11,"BW",-1.27
2020-08-12,"BW",-2.31
2020-08-13,"BW",-5.29
2020-08-14,"BW",-5.8
2020-08-15,"BW",-1.85
2020-08-16,"BW",-4.13
2020-08-17,"BW",-5.06
2020-08-18,"BW",-3.16
2020-08-19,"BW",-2.13
2020-08-20,"BW",-3.23
2020-08-21,"BW",-4.91
2020-08-22,"BW",-7.19
2020-08-23,"BW",-7.15
2020-08-24,"BW",-3.48
2020-08-25,"BW",-6.44
2020-08-26,"BW",-5.63
2020-08-27,"BW",-2.67
2020-08-28,"BW",-7.67
2020-08-29,"BW",-4.16
2020-08-30,"BW",-25.28
2020-08-31,"BW",-0.04
2020-09-01,"BW",-9.05
2020-09-02,"BW",-7.88
2020-09-03,"BW",-6.82
2020-09-04,"BW",-5.44
2020-09-05,"BW",0.33
2020-09-06,"BW",0
2020-09-07,"BW",-0.76
2020-09-08,"BW",0.02
2020-09-09,"BW",-0.17
2020-09-10,"BW",-0.78
2020-09-11,"BW",-0.72
2020-09-12,"BW",7.16
2020-09-13,"BW",12.71
2020-09-14,"BW",9.37
2020-09-15,"BW",9.01
2020-09-16,"BW",5.91
2020-09-17,"BW",6.05
2020-09-18,"BW",5.96
2020-09-19,"BW",8.25
2020-09-20,"BW",12.76
2020-09-21,"BW",9.74
2020-09-22,"BW",8.25
2020-09-23,"BW",5.25
2020-09-24,"BW",7.3
2020-09-25,"BW",2.61
2020-09-26,"BW",-4.26
2020-09-27,"BW",-4.33
2020-09-28,"BW",8.42
2020-09-29,"BW",1.09
2020-09-30,"BW",6.47
2020-10-01,"BW",5.1
2020-10-02,"BW",10.55
2020-10-03,"BW",7.43
2020-10-04,"BW",4.19
2020-10-05,"BW",5.84
2020-10-06,"BW",5.37
2020-10-07,"BW",-0.93
2020-10-08,"BW",-1.26
2020-10-09,"BW",4
2020-10-10,"BW",1.65
2020-10-11,"BW",-7.95
2020-10-12,"BW",0.13
2020-10-13,"BW",5.58
2020-10-14,"BW",2.76
2020-10-15,"BW",0.45
2020-10-16,"BW",2.81
2020-10-17,"BW",-0.26
2020-10-18,"BW",-5.42
2020-10-19,"BW",2.62
2020-10-20,"BW",2.92
2020-10-21,"BW",1.69
2020-10-22,"BW",0.84
2020-10-23,"BW",-0.12
2020-10-24,"BW",-0.57
2020-10-25,"BW",3.53
2020-10-26,"BW",-11.03
2020-10-27,"BW",-4.92
2020-10-28,"BW",-7.44
2020-10-29,"BW",-9.52
2020-10-30,"BW",-5.17
2020-10-31,"BW",2.64
