"Day","Train","Road","Flight","NA."
"2020/01/07",3.1,2.5,-17.3,-6.6
"2020/01/08",2,2.7,-16.9,-6.2
"2020/01/09",-0.6,-0.3,-20.7,-3
"2020/01/10",0.9,-0.3,-21.8,0.3
"2020/01/11",-1,-2,-25.2,2.1
"2020/01/12",-2,-4,-27,2.8
"2020/01/13",-1.7,-3.3,-25.8,3.6
"2020/01/14",-1.4,-2.2,-22.7,4
"2020/01/15",0,-0.9,-19.2,4.5
"2020/01/16",1.6,0.6,-15.5,5.2
"2020/01/17",3.6,1.9,-13.3,5.6
"2020/01/18",5.4,2.4,-12.6,6.1
"2020/01/19",7.5,3.4,-11.8,6.7
"2020/01/20",7.9,3.9,-11.2,6.6
"2020/01/21",8.2,4.4,-11.3,7
"2020/01/22",8.4,4.7,-11.5,7.2
"2020/01/23",8.4,4.7,-11.2,6.6
"2020/01/24",8.4,5,-10.8,6.3
"2020/01/25",8.4,5.4,-10.1,6.2
"2020/01/26",8.7,5.6,-9.3,6.1
"2020/01/27",8.5,5.7,-8.9,6
"2020/01/28",8.7,5.9,-8,5.7
"2020/01/29",9,6,-7.8,5.5
"2020/01/30",9.3,6.4,-7.8,5.7
"2020/01/31",9.9,7.2,-6.9,6.1
"2020/02/01",8.8,6.1,-6.7,5.2
"2020/02/02",7.3,4.6,-7.1,3.9
"2020/02/03",7.2,4.6,-8.6,3.5
"2020/02/04",7,4.9,-10.8,3.2
"2020/02/05",6.7,5.6,-11.3,2.7
"2020/02/06",5.5,5.1,-13.7,1.8
"2020/02/07",3.7,3.7,-15.9,1.1
"2020/02/08",5,4.7,-16,1.5
"2020/02/09",2.6,4.1,-19.3,-0.3
"2020/02/10",-5.7,2.5,-25.7,-1.4
"2020/02/11",-6.3,2.9,-24.4,-1.4
"2020/02/12",-5.9,3.2,-24.6,-1.7
"2020/02/13",-5.6,3.6,-24.1,-1.6
"2020/02/14",-5.3,4.5,-24.1,-1.6
"2020/02/15",-5.6,5,-23.8,-1.4
"2020/02/16",-2.4,6.7,-20.1,-0.1
"2020/02/17",6.1,8.8,-12.7,1.5
"2020/02/18",7.2,8.6,-14.8,1.9
"2020/02/19",7.9,8.9,-13.7,2.3
"2020/02/20",8.7,9.1,-13.5,2.4
"2020/02/21",8.8,9.4,-12.9,2.5
"2020/02/22",9.3,9.2,-12.7,1.9
"2020/02/23",8.7,8.2,-12.9,1.8
"2020/02/24",8.9,8.5,-13.4,1.5
"2020/02/25",8.5,8.9,-14.1,1.5
"2020/02/26",7.5,8.9,-16.3,1.5
"2020/02/27",6.2,8.7,-17.7,1.6
"2020/02/28",4.9,8,-18.3,1.9
"2020/02/29",3.4,7.4,-19.4,2.4
"2020/03/01",2.7,7.6,-21.1,3.8
"2020/03/02",0.4,5.9,-23.8,4.1
"2020/03/03",-1.9,3.7,-27.1,4
"2020/03/04",-3.9,1.9,-29.6,3.9
"2020/03/05",-5.6,0.4,-32.8,4
"2020/03/06",-6.8,-1.3,-36.3,3.2
"2020/03/07",-9.3,-3,-39.5,2.8
"2020/03/08",-10.1,-3.1,-41,2
"2020/03/09",-10.6,-3.2,-42.9,2.3
"2020/03/10",-11.6,-3.6,-44.4,2.1
"2020/03/11",-12.9,-4,-46.2,1.8
"2020/03/12",-14.5,-4.5,-47.6,1.5
"2020/03/13",-17.6,-5.8,-49.6,1
"2020/03/14",-23.1,-9.2,-51.5,-0.6
"2020/03/15",-29.7,-13.5,-54.6,-2.2
"2020/03/16",-35.9,-15.8,-58.7,-3.7
"2020/03/17",-42.7,-18.4,-62.3,-5.5
"2020/03/18",-50.1,-21.6,-66.4,-7.7
"2020/03/19",-57.8,-25.4,-71.6,-10.6
"2020/03/20",-65.3,-30.1,-77,-14.7
"2020/03/21",-70.7,-35.9,-82.3,-20.1
"2020/03/22",-76.5,-42.2,-87.5,-25.2
"2020/03/23",-81.1,-45.7,-90.6,-28.9
"2020/03/24",-84.2,-48.5,-93.1,-31.8
"2020/03/25",-86.5,-50.7,-94.8,-34.6
"2020/03/26",-88.1,-52.3,-95.8,-36.3
"2020/03/27",-89.1,-53.7,-96.6,-36.9
"2020/03/28",-89.6,-54.1,-97.2,-36.3
"2020/03/29",-89.9,-54.8,-97.7,-38
"2020/03/30",-90.1,-55.2,-97.8,-38.4
"2020/03/31",-89.9,-55.5,-97.9,-38.4
"2020/04/01",-90,-56.6,-98,-38.3
"2020/04/02",-90,-58,-98,-38.2
"2020/04/03",-90,-58.4,-98.1,-38.1
"2020/04/04",-90,-58.7,-98.2,-38.8
"2020/04/05",-89.9,-58.4,-98.3,-36.5
"2020/04/06",-89.9,-58.6,-98.5,-35.5
"2020/04/07",-90.2,-59.6,-98.5,-35
"2020/04/08",-90.2,-59.3,-98.5,-34.3
"2020/04/09",-89.8,-58.8,-98.6,-33.7
"2020/04/10",-90.2,-62.2,-98.6,-36.2
"2020/04/11",-90,-62.3,-98.7,-35.2
"2020/04/12",-90,-62.3,-98.7,-34.1
"2020/04/13",-90.7,-68,-98.8,-38.8
"2020/04/14",-90.2,-67.7,-98.7,-39.2
"2020/04/15",-89.9,-67.4,-98.8,-39.3
"2020/04/16",-90,-67.2,-98.8,-38.7
"2020/04/17",-89.2,-63.1,-98.8,-35
"2020/04/18",-89,-62,-98.7,-34.1
"2020/04/19",-88.4,-60.9,-98.7,-34.5
"2020/04/20",-87,-54.6,-98.6,-28.9
"2020/04/21",-86.9,-54,-98.5,-27.3
"2020/04/22",-86.5,-53.3,-98.6,-25.9
"2020/04/23",-86.1,-52.8,-98.5,-24.9
"2020/04/24",-85.7,-52.2,-98.4,-23.9
"2020/04/25",-85.5,-51.6,-98.4,-23.4
"2020/04/26",-85.1,-50.8,-98.4,-22.4
"2020/04/27",-84.8,-50.2,-98.4,-21.8
"2020/04/28",-84.5,-49.8,-98.4,-21.3
"2020/04/29",-84.2,-49.5,-98.3,-21.5
"2020/04/30",-83.3,-48.6,-98.3,-21.5
"2020/05/01",-83.2,-50.1,-98.2,-24.8
"2020/05/02",-83.1,-50.4,-98.1,-25.7
"2020/05/03",-82.8,-49.7,-98.1,-26.6
"2020/05/04",-82.6,-49.7,-98.1,-27.3
"2020/05/05",-82.1,-48.7,-98.1,-27.8
"2020/05/06",-81.9,-48.3,-98.1,-27.3
"2020/05/07",-81.7,-46.9,-98,-26.6
"2020/05/08",-80.6,-43.3,-98.1,-22.4
"2020/05/09",-79.2,-40.2,-98.1,-18.8
"2020/05/10",-78.2,-37.7,-98.2,-15.2
"2020/05/11",-77.5,-36.9,-98.1,-14.5
"2020/05/12",-76.7,-36,-98,-13.3
"2020/05/13",-76.1,-35.5,-97.9,-12.8
"2020/05/14",-75.6,-35,-97.8,-12.4
"2020/05/15",-74.9,-34.4,-97.8,-12.1
"2020/05/16",-74.4,-33.8,-97.8,-12.7
