month	day	plot_id	species_id	sex	hindfoot_length	weight
7	16	1977	2	NL	M	32	
7	16	1977	3	NL	M	33	
7	16	1977	2	DM	F	37	
7	16	1977	7	DM	M	36	
7	16	1977	3	DM	M	35	
7	16	1977	1	PF	M	14	
7	16	1977	2	PE	F		
7	16	1977	1	DM	M	37	
7	16	1977	1	DM	F	34	
7	16	1977	6	PF	F	20	
7	16	1977	5	DS	F	53	
7	16	1977	7	DM	M	38	
7	16	1977	3	DM	M	35	
7	16	1977	8	DM			
7	16	1977	6	DM	F	36	
7	16	1977	4	DM	F	36	
7	16	1977	3	DS	F	48	
7	16	1977	2	PP	M	22	
7	16	1977	4	PF			
7	17	1977	11	DS	F	48	
7	17	1977	14	DM	F	34	
7	17	1977	15	NL	F	31	
7	17	1977	13	DM	M	36	
7	17	1977	13	SH	M	21	
7	17	1977	9	DM	M	35	
7	17	1977	15	DM	M	31	
7	17	1977	15	DM	M	36	
7	17	1977	11	DM	M	38	
7	17	1977	11	PP	M		
7	17	1977	10	DS	F	52	
7	17	1977	15	DM	F	37	
7	17	1977	10	DM	F	35	
7	17	1977	11	DM	F	36	
7	17	1977	17	DM			
7	17	1977	13	DM	F	38	
7	17	1977	16	OT	F	22	
7	17	1977	11	DM	F	35	
7	17	1977	17	NL	M	33	
7	17	1977	11	DM	F	36	
7	18	1977	20	DM	M	36	
7	18	1977	23	DM	F	34	
7	18	1977	18	DS	F	46	
7	18	1977	21	DM	M	36	
7	18	1977	18	DM	F	35	
7	18	1977	22	DM	M	36	
7	18	1977	19	DM	M	35	
7	18	1977	18	DM	M	32	
7	18	1977	20	DM	F	36	
7	18	1977	12	PP	F	17	
7	18	1977	18	DM	F	32	
7	18	1977	21	DM	F	36	
7	18	1977	12	DM	F	26	
7	18	1977	22	DM	M	36	
7	18	1977	18	DM	M	37	
7	18	1977	23	DM	M	36	
7	18	1977	20	DM	M	34	
7	18	1977	22	DM			
7	18	1977	12	DS	M	45	
7	18	1977	19	DM	M	33	
7	18	1977	19	PE	M	20	
7	18	1977	23	DM	M	35	
7	18	1977	19	DM	M	35	
8	19	1977	3	DM	M	35	40
8	19	1977	7	DM	M	37	48
8	19	1977	4	DM	F	34	29
8	19	1977	4	DM	F	35	46
8	19	1977	7	DM	M	35	36
8	19	1977	8	DO	F	32	52
8	19	1977	2	PF	M	15	8
8	19	1977	3	OX	F	21	22
8	19	1977	7	DM	F	36	35
8	19	1977	2	NL	M	31	
8	19	1977	3	DS	F	44	
8	19	1977	8	PF	M	12	7
8	19	1977	8	DM	F	32	22
8	19	1977	9	DS	F	47	
8	19	1977	4	SS			
8	19	1977	1	PF	M	16	9
8	19	1977	7	DM	F	34	42
8	19	1977	1	DS	M	48	
8	19	1977	4	PF	F	14	8
8	19	1977	4	DM	F	35	41
8	20	1977	6	DM	F	37	37
8	20	1977	19	DM	F	35	43
8	20	1977	23	DM	F	35	41
8	20	1977	18	DM	F	33	40
8	20	1977	5	PF	F	11	9
8	20	1977	18	DM	F	35	45
8	20	1977	12	PP	F	20	15
8	20	1977	18	DM	M	35	29
8	20	1977	11	DS	F	50	
8	20	1977	6	DM	M	35	39
8	20	1977	18	DM			42
8	20	1977	18	DM	F	36	43
8	20	1977	23	DM	M	38	46
8	20	1977	12	DM	M	36	41
8	20	1977	18	DM	M	36	41
8	20	1977	5	DM	M	38	40
8	20	1977	11	DM	M	37	45
8	20	1977	5	DS	F	54	
8	20	1977	5	DM	F	35	46
8	20	1977	23	DM	F	35	40
8	20	1977	18	DM	F	35	30
8	20	1977	11	DS	M	43	
8	20	1977	19	DM	M	35	39
8	20	1977	12	NL			
8	20	1977	18	NL			
8	20	1977	11	PP	M	21	
8	20	1977	6	DM	M	35	34
8	20	1977	10	DS			
8	20	1977	11	DM	F	37	42
8	20	1977	23	DM	M	37	42
8	20	1977	5	PF	F	13	8
8	21	1977	15	DM	F	32	
8	21	1977	21	DM	M	34	
8	21	1977	13	DM	F	37	31
8	21	1977	21	OX	F	19	
8	21	1977	17	DM	M	33	
8	21	1977	20	DM	M	35	
8	21	1977	20	DM	M	35	
8	21	1977	15	NL			
8	21	1977	22	DM	F	33	
8	21	1977	17	DM	M	37	
8	21	1977	14	DM	M	36	
8	21	1977	22	DM	M	35	
8	21	1977	20	DM	F	30	
8	21	1977	14	DM	M	33	
8	21	1977	15	DM	M	34	
8	21	1977	14	DM	F	34	
8	21	1977	16	DM	F	34	
8	21	1977	22	DM	M	37	
8	21	1977	22	DM	F	33	
8	21	1977	15	DM	M	37	
8	21	1977	17	DS	F	45	
8	21	1977	15	DM	F	35	
8	21	1977	13	PF	F	16	
8	21	1977	20	DM	F	35	
8	21	1977	22	DM	M	37	
8	21	1977	14	PF	M	15	
8	21	1977	20	DM	M	33	
8	21	1977	16	DM	M	36	
8	21	1977	17	DM	F	34	
8	21	1977	15	DM	M	35	
8	21	1977	15	DS	M	40	
8	21	1977	13	DM	F	37	
8	21	1977	13	DM	F	36	40
8	21	1977	13	DM	M	37	
8	21	1977	14	DM	M	37	
8	21	1977	20	DS	M	50	
8	21	1977	21	DM	M	35	
8	21	1977	13	DM	M	35	
8	21	1977	14	DM	M	38	
8	21	1977	16	DS	F	50	
8	21	1977	20	DS	F	47	
8	21	1977	20	DS			
